ayistam,eeyistam,,\s|$
ouwuk,owak,,\s|$
touht,toht,,\s|$
huk,hak,,\s|$
ouhk,ohk,,\s|$
uhk,ahk
awshin,aashin,,\s|$
away,away,,VOWEL
ayaw,ayaw,,VOWEL

wawn,waan
lawn,laañ
rawn,raañ
zhawn,zhaañ
zhamaen,zhamaeñ
mwawn,mwaan
in,in,,VOWEL
ay,ay,,VOWEL
aw,aw,,VOWEL
ay,ee
awn,aan,yy,\s|$
awn,aañ,s
awn,aañ,sh
awn,aañ,v
awn,aan,ht
awn,aan,hk
awn,aañ,zh
awn,aañ,r
awn,aañ,l
awn,aañ,,v
awn,aañ,,b
awn,aañ,,d
awn,aañ,,'d
aw,aañ,,'d
awn,aañ,,g
awn,aañ,z
aw,aa,STOP,STOP
uw,aa,STOP,STOP
aw,aa,STOP,sh
uw,aa,STOP,sh
aw,aa,,ch
aw,aa,,ht
aw,aa,,hk
aw,aa,ht
aw,aa,hk
aw,aa,,h
aw,aa,,r
aw,aa,,t(\s|$)
aw,aa,,shk
aw,aa,,sht
aw,aa,,shp
aw,aa,,st
aw,aa,y,sh
aw,aa,STOP,-
aw,aa,(VOWEL)-,CONSONANT
aw,aañ,,’d
uw,aa,,shk
uw,aa,,sht
oon,ooñ,,\s|$
oo,oo,,\s|$
oo,oo,,r
oo,oo,,v
oo,oo,,ht
oo,oo,,hk
oo,oo,zh,r
oo,oo,y,t
oo,oo,[\s|^]t,t(VOWEL)
oo,o,k,hk(\s|$)
ou,o,\s|^,sh
ou,oo,zh,r
ou,oo,y,ht
ou,oo,y,t
oo,oo,,l
ou,oo,t,t(VOWEL)
ou,o,k,hk(\s|$)
ou,o,k,k(\s|$)
ou,o,m,t(\s|$)
aw,aa,,m
aww,aaw
oon,ooñ,z
oon,ooñ,y,\s|$
oun,ooñ,z
oun,ooñ,l,g
in,in,h
in,in,p
in,in,it
in,in,ch
in,in,ht
in,in,hp
in,in,hk
aen,aeñ,\s|^
aen,aen,ht
aen,aen,hk
aen,aeñ,l
aen,aeñ,r
aen,aeñ,v
aen,aeñ,,g
aen,aeñ,,z
aen,aeñ,,'d
aen,aeñ,y,\s|$
aen,aeñ,v,\s|$
aen,aeñ,z,\s|$
aen,aeñ,w,\s|$

shch,hch
hch,sch
stuw,staw
kun,kan
wun,wan
wuk,wak
tum,tam,,\s|$
wy,way
ann,an
ee,ii
enn,en
inn,in
oe,oeu
onn,on
ounn,oon
oow,oow,,\s|$
wow,aaw,\s|$
ow,aw,,\s|$
e,ee,\s|^,-
een,[een]
awn,[awn]
aen,[aen]
oun,[oun]
in,[in]
on,[on]
nn,n[FR],,\s|$
oum,[oum]
ou,[ou]
oo,[oo]
oow,[oow]
ow,[ow]
aw,[aw]
